Title,Org,posting_url,Location,Date published,Date it closes,Problem area (filters),Description,Required degree,MinimumExperienceLevel,Role type,Org's home page,Org's vacancies page,Org's logo,Salary (display)
"Academic Associate, AI Policy Lead",McGill University,https://www.linkedin.com/jobs/view/3734117442/,Montreal.Canada,2023-10-11,1/1/2050,1. AI safety & policy,"""The Centre for Media, Technology and Democracy is seeking a highly skilled and motivated PhD-level Academic Associate to join our team in a full-time role as our AI Policy Lead. In this role, you will be responsible for leading a team of researchers in conducting research on the policy and legal implications of artificial intelligence (AI), including generative AI. Knowledge of the Canadian and comparative global AI policy frameworks is preferred. The AI Policy Lead will collaborate with interdisciplinary teams and stakeholders to provide [...]""",Doctoral degree,Junior (1-4 years experience),"Policy, Research",https://www.mcgill.ca/,https://www.mcgill.ca/hr/careers,https://80000hours.org/wp-content/uploads/2023/10/McGill-University.png,Not Found
"Vice Presidency, Institutional and Government Relations",Mercy for Animals,https://mercyforanimals.org.br/job/j5835012/,"Sao Paulo.Brazil,Curitiba.Brazil,Rio de Janeiro.Brazil",2024-03-21,1/1/2050,B. Animal welfare,"""Responsible for leading the strategy and its implementation, managing the team, budget and operations of the Institutional and Government Relations department. This includes the areas of corporate relations, government relations and public policies and the food policy program that involves both public and private initiatives, with the aim of promoting greater consumption and market for plant-based food and reducing the extreme suffering of so-called animals. of consumption that are still in Responsible for leading the strategy and its [...]""",Undergraduate degree or less,Senior (10+ years experience),"Outreach, Management, Policy",https://www.mercyforanimals.org,http://www.mercyforanimals.org/jobs,https://80000hours.org/wp-content/uploads/2019/03/Mercy-For-Anmials.png,Not Found
Full-Stack Engineer,Metaculus,https://apply.workable.com/metaculus/j/7A115FBFE0/,Remote.Global,2024-04-01,1/1/2050,,,Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)",Software engineering,https://www.metaculus.com/questions/,https://apply.workable.com/metaculus/,https://80000hours.org/wp-content/uploads/2019/07/Metaculus.jpeg,"$100,000 - $160,000"
"AI Policy Coordinator Intern, European Government Affairs",Microsoft,https://jobs.careers.microsoft.com/global/en/job/1702672/,Brussels.Belgium,2024-03-28,1/1/2050,1. AI safety & policy,,Undergraduate degree or less,Junior (1-4 years experience),Policy,https://www.microsoft.com/en-us/about/company,https://jobs.careers.microsoft.com/global/en/search,https://80000hours.org/wp-content/uploads/2023/02/Microsoft.png,Not Found
"Policy Coordinator Intern, European Government Affairs",Microsoft,https://jobs.careers.microsoft.com/global/en/job/1702683/,Brussels.Belgium,2024-03-28,1/1/2050,6. Early career policy,,Undergraduate degree or less,Junior (1-4 years experience),Policy,https://www.microsoft.com/en-us/about/company,https://jobs.careers.microsoft.com/global/en/search,https://80000hours.org/wp-content/uploads/2023/02/Microsoft.png,Not Found
"Research Intern, Cryptograph, Security and Privacy",Microsoft,https://jobs.careers.microsoft.com/global/en/job/1639824,Seattle metro area.USA,2024-01-24,1/1/2050,D. Career development: Technical,"""Responsibilities: Research Interns put inquiry and theory into practice. Alongside fellow doctoral candidates and some of the world’s best researchers, Research Interns learn, collaborate, and network for life. Research Interns not only advance their own careers, but they also contribute to exciting research and development strides. During the 12-week internship, Research Interns are paired with mentors and expected to collaborate with other Research Interns and researchers, present findings, and contribute to the vibrant life of the community. [...]""",Master's degree,Entry-level,"Research, Information security",https://www.microsoft.com/en-us/about/company,https://jobs.careers.microsoft.com/global/en/search,https://80000hours.org/wp-content/uploads/2023/02/Microsoft.png,"Base: $6,290 - $13,240 per month"
"Research Intern, Fairness, Accountability, Transparency, and Ethics in AI, New York",Microsoft,https://jobs.careers.microsoft.com/global/en/job/1661365/Research-Intern---FATE%2C-NYC-(Fairness%2C-Accountability%2C-Transparency%2C-and-Ethics-in-AI),"""New York, NY.USA""",2023-11-17,1/1/2050,D. Career development: Technical,"""Responsibilities: Research Interns put inquiry and theory into practice. Alongside fellow doctoral candidates and some of the world’s best researchers, Research Interns learn, collaborate, and network for life. Research Interns not only advance their own careers, but they also contribute to exciting research and development strides. During the 12-week internship, Research Interns are paired with mentors and expected to collaborate with other Research Interns and researchers, present findings, and contribute to the vibrant life of the community. [...]""",Master's degree,Entry-level,Research,https://www.microsoft.com/en-us/about/company,https://jobs.careers.microsoft.com/global/en/search,https://80000hours.org/wp-content/uploads/2023/02/Microsoft.png,"$6,290 - $13,240 per month"
"Research Intern, Fairness, Accountability, Transparency, and Ethics, Montreal",Microsoft,https://jobs.careers.microsoft.com/global/en/job/1665158/Stagiaire-en-recherche%2C-FATE-(%C3%A9quit%C3%A9%2C-responsabilit%C3%A9%2C-transparence-et-%C3%A9thique)%3B-Research-Intern---Fairness%2C-Accountability%2C-Transparency%2C-and-Ethics-(FATE),Montreal.Canada,2024-04-05,1/1/2050,1. AI safety & policy,,Master's degree,Entry-level,Research,https://www.microsoft.com/en-us/about/company,https://jobs.careers.microsoft.com/global/en/search,https://80000hours.org/wp-content/uploads/2023/02/Microsoft.png,"Base: $8,500 CAD - $9,500 CAD per month"
"Research Intern, Fairness, Accountability, Transparency, and Ethics, Seattle / New York",Microsoft,https://jobs.careers.microsoft.com/global/en/job/1691930/,"""Washington, DC metro area.USA"",""New York, NY.USA""",2024-04-04,1/1/2050,1. AI safety & policy,,Doctoral degree,Entry-level,Research,https://www.microsoft.com/en-us/about/company,https://jobs.careers.microsoft.com/global/en/search,https://80000hours.org/wp-content/uploads/2023/02/Microsoft.png,"Base: $6,290 - $12,170 per month (USA); $8,060 - $13,240 per month (San Francisco Bay area and New York City)"
"Research Intern, Large Foundational Model Evaluation",Microsoft,https://jobs.careers.microsoft.com/global/en/job/1656782/Research-Intern---Large-Foundational-Model-(LFM)-Evaluation,Seattle metro area.USA,2024-01-25,1/1/2050,1. AI safety & policy,"""Responsibilities: Research Interns put inquiry and theory into practice. Alongside fellow doctoral candidates and some of the world’s best researchers, interns learn, collaborate, and network for life. Research Interns not only advance their own careers, but they also contribute to exciting research and development strides. During the 12-week internship, Research Interns are paired with mentors and expected to collaborate with other interns and researchers, present findings, and contribute to the vibrant life of the community. Research [...]""",Master's degree,Entry-level,Research,https://www.microsoft.com/en-us/about/company,https://jobs.careers.microsoft.com/global/en/search,https://80000hours.org/wp-content/uploads/2023/02/Microsoft.png,"Base: $6,290 - $13,240 per month"
"Research Intern, Machine Learning for Immunomics",Microsoft,https://jobs.careers.microsoft.com/us/en/job/1663985/Research-Intern---Machine-Learning-for-Immunomics,Seattle metro area.USA,2024-01-24,1/1/2050,D. Career development: Technical,"""We are looking for an innovative and motivated Research Intern to help us develop state-of-the-art machine learning models that can make sense of the complexity of the human immune system. You may work with a large dataset of T-cell receptor sequencing data to help us disentangle the complex immune history of any individual, help us build models that can predict binding of different parts of the immune synapse, or help us make sense of immune-mediated outcomes. Responsibilities: Research Interns put inquiry and theory into practice. Alongside [...]""",Undergraduate degree or less,Entry-level,Research,https://www.microsoft.com/en-us/about/company,https://jobs.careers.microsoft.com/global/en/search,https://80000hours.org/wp-content/uploads/2023/02/Microsoft.png,"$6,290 - $13,240 per month"
"Research Intern, Responsible AI, Azure AI",Microsoft,https://jobs.careers.microsoft.com/global/en/job/1663265/,"""Washington, DC metro area.USA""",2023-11-21,1/1/2050,1. AI safety & policy,"""In this position, you will conduct both fundamental and applied research under the supervision of Microsoft mentors, prototype and demonstrate technologies, publish results, and most importantly, advance the state-of-the-art in responsible AI technologies to impact millions of users. Responsibilities: Research Interns put inquiry and theory into practice. Alongside fellow doctoral candidates and some of the world’s best researchers, Research Interns learn, collaborate, and network for life. Research Interns not only advance their own careers, [...]""",Master's degree,Entry-level,Research,https://www.microsoft.com/en-us/about/company,https://jobs.careers.microsoft.com/global/en/search,https://80000hours.org/wp-content/uploads/2023/02/Microsoft.png,"$6,290 - $13,240 per month"
"Research Intern, Scientific and Regulatory Affairs, Health Futures",Microsoft,https://jobs.careers.microsoft.com/global/en/job/1663331/Research-Intern---Scientific-%26-Regulatory-Affairs---Health-Futures,Seattle metro area.USA,2023-12-04,1/1/2050,D. Career development: Technical,"""The Scientific and Regulatory Affairs team of Health Futures is seeking a Healthcare Regulatory and Policy research intern to review and synthesize developments in the rapidly evolving regulatory landscape impacting precision health and digital healthcare globally. As the focus of this internship, we would like to study the potential for how generative AI can be used in the drug development lifecycle to accelerate the approach to areas such as regulatory filings, generation of real world evidence, clinical trial documentation and audits. With [...]""",Undergraduate degree or less,Entry-level,Research,https://www.microsoft.com/en-us/about/company,https://jobs.careers.microsoft.com/global/en/search,https://80000hours.org/wp-content/uploads/2023/02/Microsoft.png,"Base: $5,090 - $13,240 per month"
"Research Scientist, Responsible and OpenAI Research",Microsoft,https://jobs.careers.microsoft.com/global/en/job/1660064/,Seattle metro area.USA,2023-11-14,1/1/2050,1. AI safety & policy,"""We are seeking a highly skilled and passionate Research Scientist to join our Responsible & OpenAI Research (ROAR) team in Azure Cognitive Services. As a Research Scientist, you will play a key role in advancing the field of Responsible Artificial Intelligence (AI) to ensure safe releases of the rapidly advancing AI technologies, such as GPT-4, GPT-4V, DALL-E 3 and beyond, as well as to expand and enhance our standalone Azure AI Content Safety Service. Responsibilities: Conduct cutting-edge research to develop Responsible AI definitions, methodologies, algorithms [...]"" ",Master's degree,Junior (1-4 years experience),Research,https://www.microsoft.com/en-us/about/company,https://jobs.careers.microsoft.com/global/en/search,https://80000hours.org/wp-content/uploads/2023/02/Microsoft.png,"$94,300 - $218,400"
Responsible AI Program Leader,Microsoft,https://jobs.careers.microsoft.com/global/en/job/1702428/,Seattle metro area.USA,2024-03-26,1/1/2050,1. AI safety & policy,"""The successful candidate will act as an integral member of the PACE team to provide thought leadership and subject matter expertise related to the responsible AI deployment of software and platforms across the division. Key to this role is to establish responsible AI risk assessment processes and translate policies to into effective controls and scalable implementation practices. Leveraging a risk-based mindset, the candidate will assess risks and impacts of AI solutions developed in the division and provide recommendations to comply with [...]""",Undergraduate degree or less,Mid (5-9 years experience),Policy,https://www.microsoft.com/en-us/about/company,https://jobs.careers.microsoft.com/global/en/search,https://80000hours.org/wp-content/uploads/2023/02/Microsoft.png,"Base: $112,200 - $213,200"
"Senior Applied Scientist, Responsible AI",Microsoft,https://jobs.careers.microsoft.com/global/en/job/1681855/,Hyderabad.India,2024-02-23,1/1/2050,1. AI safety & policy,"""Responsibilities: Conduct cutting-edge research to develop Responsible AI definitions, methodologies, algorithms, and models for both the measurement and mitigation of AI risks; Contribute to the development of Responsible AI policies, guidelines, and best practices and ensure the practical application of these guidelines within various AI technology stacks across Microsoft, promoting a consistent approach to Responsible AI; Enable the safe release of new Azure OpenAI Service features and expand and enhance the Azure AI Content Safety Service [...]""",Undergraduate degree or less,Multiple experience levels,"Research, Policy",https://www.microsoft.com/en-us/about/company,https://jobs.careers.microsoft.com/global/en/search,https://80000hours.org/wp-content/uploads/2023/02/Microsoft.png,Not Found
"Senior Product Manager, AI Governance",Microsoft,https://jobs.careers.microsoft.com/global/en/job/1699106/,Seattle metro area.USA,2024-03-21,1/1/2050,1. AI safety & policy,"""We're currently seeking a Senior Product Manager for this team to define a robust AI governance strategy for AI Studio. This entails ensuring ethical, responsible, and compliant AI usage across its entire lifecycle. Responsibilities: Define and develop a comprehensive AI governance strategy for AI Studio, ensuring ethical, responsible, and compliant AI usage throughout its lifecycle; Collaborate closely with the responsible AI team to integrate AI governance principles into product development processes, ensuring alignment with industry [...]""",Undergraduate degree or less,Mid (5-9 years experience),"Operations, Management",https://www.microsoft.com/en-us/about/company,https://jobs.careers.microsoft.com/global/en/search,https://80000hours.org/wp-content/uploads/2023/02/Microsoft.png,"Base: $112,000 - $238,600"
Student Grant Program for Conferences,Microsoft,https://www.microsoft.com/en-us/research/academic-program/academic-outreach/,.India,2024-01-23,1/1/2050,D. Career development: Technical,"""Microsoft Research (MSR) India is involved in various efforts to make the research ecosystem in computer science in India more vibrant and to inspire our vast technical student population to consider careers in research. The following are a few of our outreach initiatives: Student travel grants -- MSR India’s Student Travel Grant Program has been supporting research students at Indian universities producing high quality research; Conference and workshop sponsorships -- MSR India offers sponsorships to conferences in the area of computer science.""",Undergraduate degree or less,Entry-level,Research,https://www.microsoft.com/en-us/about/company,https://jobs.careers.microsoft.com/global/en/search,https://80000hours.org/wp-content/uploads/2023/02/Microsoft.png,Not Found
Postdocs / Research Engineers / Research Scientists,Mila,https://yoshuabengio.org/news/,Montreal.Canada,2024-01-10,1/1/2050,1. AI safety & policy,"""I [Yoshua Bengio] am looking for postdocs, research engineers and research scientists who would like to join me in one form or another in figuring out AI alignment with probabilistic safety guarantees, along the lines of the research program described in my keynote at the New Orleans December 2023 Alignment Workshop. I am also specifically looking for a postdoc with a strong mathematical background (ideally an actual math or math+physics or math+CS degree) to take a leadership role in supervising the Mila research on probabilistic inference and GFlowNets [...]""",Doctoral degree,Multiple experience levels,"Research, Software engineering",https://mila.quebec/en/,https://apply.workable.com/mila-2/?lng=en,https://80000hours.org/wp-content/uploads/2023/09/mila_logo.jpeg,Not Found
"Software Developer, AI and Health",Mila,https://apply.workable.com/mila-2/j/70997AF500/,Montreal.Canada,2024-02-08,1/1/2050,A. Global health & development,"""We are looking for a talented and motivated software developer to join our team to advance AI and health projects in the Rahimi laboratory. This role involves the development and implementation of cutting-edge AI solutions and the development of innovative software solutions to address complex challenges in healthcare, including solutions targeting chronic disease management, particularly cardiovascular illnesses. Develop and optimize data pipelines for the integration, cleansing and transformation of large-scale multimodal health datasets; [...]""",Master's degree,Junior (1-4 years experience),"Software engineering, Data",https://mila.quebec/en/,https://apply.workable.com/mila-2/?lng=en,https://80000hours.org/wp-content/uploads/2023/09/mila_logo.jpeg,Not Found
AI/ML Security Research Scientist,Mindgard,https://mindgard.ai/careers/research-scientist-ai-ml?hsLang=en,London.UK,2024-03-04,1/1/2050,1. AI safety & policy,"""We’re seeking a Research Scientist to join our R&D team, who is passionate about working on practical security problems within AI/ML. What you will be doing: Design, evaluate, and implement adversarial ML attacks and detection techniques; Work and collaborate with the R&D and engineering teams to push/translate adversarial ML techniques into production software for AI red teaming; Uncover ML security threats, analyse data and discover feature commonality; Engage in research collaboration, publications, and conference attendance; Keep the [...]""",Doctoral degree,Multiple experience levels,Information security,https://mindgard.ai/,https://mindgard.ai/careers,https://80000hours.org/wp-content/uploads/2023/09/Mindgard.jpeg,Not Found
Operations Manager,Mindgard,https://mindgard.ai/careers/operations-manager?hsLang=en,London.UK,2024-03-04,1/1/2050,1. AI safety & policy,"""As we continue to aggressively grow our amazing team, we need a highly talented individual to co-ordinate a wide range of activities within the company. This will range from co-ordinating company attendance at international conferences, through assisting with the end-to-end hiring process, to helping with a wide range of process documentation, basic financial assistance. Another key part of the role is to provide Executive Assistant orientated support to the two co-founders to assist with their workload. What you will be doing: Build out [...]""",Undergraduate degree or less,Multiple experience levels,Operations,https://mindgard.ai/,https://mindgard.ai/careers,https://80000hours.org/wp-content/uploads/2023/09/Mindgard.jpeg,Not Found
Product Designer,Mindgard,https://mindgard.ai/careers/product-designer?hsLang=en,London.UK,2024-03-04,1/1/2050,1. AI safety & policy,"""We’re looking for an experienced product designer to ensure our flagship AI Security Platform delights users while elegantly solving their needs to keep them safe. You’ll shape the design of our AI Security Platform, including our tooling for security testing, education, risk management and reporting, and our integrations with customers' own tools and workflows. What you will be doing: Responsible for delivering great design and user experience for our AI Security Platform; Conducting research, including usability testing, and competitor [...]""",Undergraduate degree or less,Multiple experience levels,Other,https://mindgard.ai/,https://mindgard.ai/careers,https://80000hours.org/wp-content/uploads/2023/09/Mindgard.jpeg,Not Found
Product Lead,Mindgard,https://mindgard.ai/careers/product-lead?hsLang=en,London.UK,2024-03-04,1/1/2050,1. AI safety & policy,"""We are looking for a talented Product Lead for our flagship AI security platform. You will lead in identifying market opportunities, understanding customer needs, and working with the engineering team to design and build the product to meet those needs, delight users, and keep customer AI secure. This is a rare opportunity to be at the forefront of AI security, shape and lead the product powering a rocket ship startup, and grow your expertise exponentially alongside AI security pioneers. What you will be doing: Developing a product vision, [...]""",Undergraduate degree or less,Multiple experience levels,Operations,https://mindgard.ai/,https://mindgard.ai/careers,https://80000hours.org/wp-content/uploads/2023/09/Mindgard.jpeg,Not Found
Senior Software Engineer,Mindgard,https://mindgard.ai/careers/senior-software-engineer?hsLang=en,London.UK,2024-03-04,1/1/2050,1. AI safety & policy,"""You’re an experienced software engineer who will join an engineering team that is building and maintaining our flagship AI Security Platform. You’ll work on capabilities across SaaS Webapps, to integrations that protect customer systems, to internal tooling that powers our AI threat intelligence. We use a variety of tooling across the tech stack, including Python, TypeScript, Postgres, Kubernetes, Docker, Terraform, Azure. What you will be doing: Building, testing, and continuously delivering small, high quality changes to production; Pair [...]""",Undergraduate degree or less,"Mid (5-9 years experience),Senior (10+ years experience)",Software engineering,https://mindgard.ai/,https://mindgard.ai/careers,https://80000hours.org/wp-content/uploads/2023/09/Mindgard.jpeg,Not Found
Associate Director of Programs,MiracleFeet,https://miraclefeet.bamboohr.com/careers/67,Remote.Global,2024-03-28,9/4/2024,A. Global health & development,,Master's degree,Senior (10+ years experience),Operations,https://www.miraclefeet.org/,https://www.miraclefeet.org/about-us/employment,https://80000hours.org/wp-content/uploads/2023/07/MiracleFeet.png,Not Found
Globalink Research Award,Mitacs,https://www.mitacs.ca/our-programs/globalink-research-award-students-postdocs/,.Canada,2024-02-23,31/12/2024,D. Career development: Technical,"""Responsibilities: Make all necessary preparations for travel abroad with the appropriate institution office(s); Obtain appropriate visa, work permit or other immigration documentation required for the destination; Attend any mandatory sessions as required by the home institution; Attend any mandatory sessions as required by the home institution; Work full-time on the research project (at least 75% abroad, and up to 25% at the home institution); Submit a final report and exit survey to Mitacs at the end of the project; Host supervisor’s [...]""",Undergraduate degree or less,Entry-level,Research,https://www.mitacs.ca/,https://mitacs.bamboohr.com/careers,https://80000hours.org/wp-content/uploads/2024/02/mitacs_logo.jpeg,"$6,000 award"
"Intern, Robust AI for Operational Technology Security",Mitsubishi Electric,https://www.linkedin.com/jobs/view/internship-robust-ai-for-operational-technology-security-at-mitsubishi-electric-research-laboratories-3755870235/,Boston metro area.USA,2023-12-28,1/1/2050,D. Career development: Technical,"""MERL is seeking a highly motivated and qualified intern to work on operational technology security. The ideal candidate would have significant research experience in cybersecurity for operational technology, anomaly detection, robust machine learning, and defenses against adversarial examples. A mature understanding of modern machine learning methods, proficiency with Python, and familiarity with deep learning frameworks are expected. Research Areas: Artificial Intelligence, Machine Learning.""",Master's degree,Entry-level,Information security,https://www.mitsubishielectric.com/en/index.html,https://www.mitsubishielectric.com/en/careers/index.html,https://80000hours.org/wp-content/uploads/2023/12/mitsubishi_electric.webp,Not Found
Community Manager,ML Alignment Theory and Scholars Program,https://www.matsprogram.org/careers/#job-descriptions,San Francisco Bay Area.USA,2024-03-28,1/1/2050,1. AI safety & policy,,Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)",Operations,https://www.matsprogram.org/,https://www.matsprogram.org/jobs/#job-descriptions,https://80000hours.org/wp-content/uploads/2023/10/MATS.jpeg,$43 - $55 per hour
Program Generalist,ML Alignment Theory and Scholars Program,https://www.matsprogram.org/careers/#job-descriptions,London.UK,2024-03-28,1/1/2050,1. AI safety & policy,,Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)",Operations,https://www.matsprogram.org/,https://www.matsprogram.org/jobs/#job-descriptions,https://80000hours.org/wp-content/uploads/2023/10/MATS.jpeg,£30 - £45 per hour
Research Manager,ML Alignment Theory and Scholars Program,https://www.matsprogram.org/careers/#job-descriptions,San Francisco Bay Area.USA,2024-03-28,1/1/2050,1. AI safety & policy,,Undergraduate degree or less,"Junior (1-4 years experience),Mid (5-9 years experience)","Operations, Research",https://www.matsprogram.org/,https://www.matsprogram.org/jobs/#job-descriptions,https://80000hours.org/wp-content/uploads/2023/10/MATS.jpeg,$43 - $60 per hour
Engineering Lead,Model Evaluation and Threat Research,https://hiring.metr.org/engineering-lead,San Francisco Bay Area.USA,2024-04-03,1/1/2050,1. AI safety & policy,"""The engineering lead at ARC Evals is in charge of our internal platform for evaluating model capabilities (Concretely: infrastructure to run a hundred agents in parallel against different tasks inside isolated virtual machines), as well as managing the engineers who expand this tooling. The work is technically fascinating, and you get to be on the cutting edge of what models can do. If you’re up for it, you may also liaise with our partners — labs, the US and UK governments, etc, as they embark on their own evaluation efforts. There’s room [...]""",Undergraduate degree or less,Mid (5-9 years experience),"Software engineering, Management",https://metr.org/,https://hiring.metr.org/,https://80000hours.org/wp-content/uploads/2023/12/METR.png,"$250,000 - $400,000"
General Expression of Interest,Model Evaluation and Threat Research,https://hiring.metr.org/interest,"Remote.Global,San Francisco Bay Area.USA",2023-01-23,1/1/2050,1. AI safety & policy,"""The evaluations project at the Alignment Research Center is a new team building capability evaluations (and in the future, alignment evaluations) for advanced ML models... We’d like to hear from anyone who would like to work with us in any capacity. We're pretty unsure about our longer-term hiring plans and contractor needs, and we are open to expressions of interest and proposals. Some groups that may want to use this form could be alignment researchers, engineers, communicators, operations specialists, contractors offering a specific service, and those that aren’t quite ready to seek a new position.""",Undergraduate degree or less,Multiple experience levels,"Software engineering, Operations, Research",https://metr.org/,https://hiring.metr.org/,https://80000hours.org/wp-content/uploads/2023/12/METR.png,Not Found
Senior Software Engineer,Momentum,https://app.dover.io/apply/Momentum/1be070d2-6c2b-45cb-874b-556c8a79db34?rs=46363195,Remote.Global,2024-04-01,1/1/2050,5. Building effective altruism,,Undergraduate degree or less,Mid (5-9 years experience),Software engineering,https://givemomentum.com/,https://www.givemomentum.com/about-us/careers#careers,https://80000hours.org/wp-content/uploads/2021/04/Momentum.jpeg,Not Found
Ellings-Korduba Research Fellowship (2024),National Bureau of Asian Research,https://nbr.applicantpro.com/jobs/3221926,Seattle metro area.USA,2024-03-11,14/4/2024,6. Early career policy,"""Those selected will become junior fellows-in-residence at NBR's Seattle office, where they will conduct original, independent research and participate in the NBR Summer Seminar featuring high-level speakers. Fellows will also engage with expert mentors, attend regional site visits to consulates, policy hubs, and military bases, attend NBR events, take part in professional development and networking workshops, and present their research to NBR staff and select guests from the policy, academic, and business communities. Fellows will refine [...]""",Undergraduate degree or less,Entry-level,"Research, Policy",https://www.nbr.org/,https://nbr.applicantpro.com/jobs/,https://80000hours.org/wp-content/uploads/2024/03/national_bureau_of_asian_research_logo.jpeg,$2000 - $3000 stipend
List of Research Assistant Positions,National Bureau of Economic Research,https://www.nber.org/career-resources/research-assistant-positions-not-nber,Various.USA,2024-04-08,1/1/2050,6. Early career policy,"""Click ""View Full List"" to find a collection of Research Assistant or Post-Doctoral Researcher positions at the National Bureau of Economic Research (NBER) or with NBER-affiliated researchers.""",Undergraduate degree or less,Entry-level,"Research, Policy",https://www.nber.org/,https://www.nber.org/jobs/employment_opp.html,https://80000hours.org/wp-content/uploads/2019/09/national-bureau-of-economic-research.jpeg,Not Found
Cybersecurity Engineer,National Laboratory of Metrology and Testing,https://www.lne.fr/fr/offre-emploi/ingenieur-en-cybersecurite-1,Paris.France,2023-12-07,1/1/2050,D. Career development: Technical,"""As a cybersecurity assessment engineer, your priority field of intervention will be the assessment of the security of information systems and the development of associated testing activities within the LNE, in coordination with the team in charge. responsible for cybersecurity certifications already in place at LNE. You will also work on the cybersecurity of AI systems, and the evaluation of AI systems used for cybersecurity. Initially, you will cover the following missions: Contribution to structuring actions (50%): Analysis/list of standards [...]""",Undergraduate degree or less,Junior (1-4 years experience),Information security,https://www.lne.fr/en,https://www.lne.fr/en/working-at-lne/join-us,https://80000hours.org/wp-content/uploads/2023/12/laboratoire_national_de_metrologie_et_dessais_National_Laboratory_of_Metrology_and_Testing_logo.jpeg,Not Found
"Communications Intern, Technology and Democracy Programs (Summer 2024)",New America Foundation,https://newamerica.applytojob.com/apply/1HyayRZfB5/,"""Washington, DC metro area.USA""",2024-03-14,1/1/2050,6. Early career policy,"""New America’s Technology and Democracy programs are looking for a communications intern to work full-time with our in-house communications team. You will support the Technology and Democracy programs’ efforts to build public discussion around our issues by assisting with collecting and analyzing communications metrics, content creation, social media, events, editing, media relations, rapid response, and more. You will report to the communications director. Tasks and Responsibilities: Collecting and analyzing communications metrics; Support [...]""",Undergraduate degree or less,Entry-level,"Outreach, Policy",https://www.newamerica.org/,https://www.newamerica.org/jobs/,https://80000hours.org/wp-content/uploads/2019/08/New-America.png,$22 per hour
Senior Policy and Research Analyst or Counsel on AI,New America Foundation,https://newamerica.applytojob.com/apply/rqNuyVKc1K/,"""Washington, DC metro area.USA"",Remote.Global",2023-09-27,1/1/2050,1. AI safety & policy,"""New America seeks a Senior Policy and Research Analyst or Counsel on AI who will play a key role across New America’s Technology and Democracy Programs. This person will bring substantive policy experience and domain expertise on emerging issues around AI, machine learning, and algorithmic accountability that will inform research, priorities, and technology sprint engagements. They will coordinate research, advocacy, and engagement across programs in order to support the evolution of an AI ecosystem that prioritizes transparency, meaningful [...]""",Undergraduate degree or less,Senior (10+ years experience),"Policy, Research",https://www.newamerica.org/,https://www.newamerica.org/jobs/,https://80000hours.org/wp-content/uploads/2019/08/New-America.png,"$77,580 - $116,370"
Audit Expert (Pro Bono),New Incentives,https://docs.google.com/document/d/1_l46VONWJMmmIvZbTw7TaYbWE9N_Yx54mjkASkYFBzA/edit,Remote.Global,2023-03-02,1/1/2050,A. Global health & development,"""Responsibilities of New Incentives Audit Expert: Reviews US and Nigerian audit reports. Reviews compliance with relevant laws and tax regulations. Review the organization’s accounting policies. Keeps informed of legal, regulatory and sector developments relating to the organization’s audit responsibilities.""",Undergraduate degree or less,Mid (5-9 years experience),Operations,newincentives.org,https://new-incentives.breezy.hr/,https://80000hours.org/wp-content/uploads/2022/12/New-Incentives.png,Not Found
Auditor,New Incentives,https://new-incentives.breezy.hr/p/ad24480dc2d7-auditors,Katsina.Nigeria,2022-05-13,1/1/2050,A. Global health & development,"""The Auditor will manage and optimise auditing activities for the assigned state, while also conducting objective unbiased audits of clinic operations and employee performance. The position is responsible for ensuring that the organisation's operations and controls are accurate and fully compatible with standards and regulations within the spheres of operations.""",Undergraduate degree or less,Junior (1-4 years experience),"Operations, Other",newincentives.org,https://new-incentives.breezy.hr/,https://80000hours.org/wp-content/uploads/2022/12/New-Incentives.png,Not Found
Human Resources Manager,New Incentives,https://new-incentives.breezy.hr/p/9dbef41d97db-human-resources-manager,Kano.Nigeria,2024-02-29,15/4/2024,A. Global health & development,"""The Human Resources Manager will support the HR Director to implement recruitment, employee relations management, staff benefits administration, staff compensation, staff performance management, and training. Job Responsibilities and Tasks: Recruitment (40%): Develop innovative recruiting strategies and tools that will help attract and retain key talent; Monitor anticipated staff capacity issues in certain LGAs to start recruitment early; Introduce new recruitment strategies based on needs and requirements; Review candidate fit and [...]""",Undergraduate degree or less,Mid (5-9 years experience),"Operations, Management",newincentives.org,https://new-incentives.breezy.hr/,https://80000hours.org/wp-content/uploads/2022/12/New-Incentives.png,Not Found
"Assistant Research Scholar, Wild Animal Welfare Program","New York University, Department of Environmental Studies",https://apply.interfolio.com/138241,"""New York, NY.USA""",2024-02-12,1/1/2050,B. Animal welfare,"""The Assistant Research Scientist will assist the Associate Research Scholar with all program operations. They will help with the management of all administrative functions, budget management, grant administration, facilities/space coordination, and event planning. They will report to the Associate Research Scholar, and may also receive tasks and assignments directly from the Director of MEP and the Co-directors of WAW.""",Undergraduate degree or less,Junior (1-4 years experience),"Research, Operations",,https://as.nyu.edu/departments/environment.html,https://80000hours.org/wp-content/uploads/2019/11/new-york-university.jpg,Base: $29 - $30 per hour
